Time,Team 1,Score 1,Team 2,Score 2,Outcome Only,Tournament,Number of Players
5/15/2024 19:50:00,Red Dyke District (S24),2,Let's Have a Kiwi (S24),3,,,8
5/15/2024 20:10:00,Inti-MINT-cy issues (S24),5,Bubblegum Bitches (S24),2,,,8
5/15/2024 20:10:00,Purple Pounders (S24),4,Lemon Drop Thots (S24),3,,,8
5/15/2024 20:30:00,Blue-Footed Boobies (S24),7,Blue is the Warmest Dodgeball (S24),2,,,8
5/15/2024 20:30:00,Let's Have a Kiwi (S24),2,Honey Nut Queerios (S24),4,,,8
5/15/2024 20:50:00,Bubblegum Bitches (S24),2,Red Dyke District (S24),4,,,8
5/15/2024 20:50:00,Glacial Gushers (S24),3,Purple Pounders (S24),3,,,8
5/15/2024 21:10:00,Blue is the Warmest Dodgeball (S24),1,Lemon Drop Thots (S24),4,,,8
5/15/2024 21:10:00,Blue-Footed Boobies (S24),3,Inti-MINT-cy issues (S24),4,,,8
7/10/2024 19:20:00,bratz (Su24),1,Royal Pain in the Ice (Su24),3,,,8
7/10/2024 19:20:00,Idina Mintzels (Su24),3,S*xual Tealing (Su24),3,,,8
7/10/2024 19:40:00,GAYtors (Su24),1,Big Eggplant Energy (Su24),2,,,8
7/10/2024 19:40:00,the dodgefathers (Su24),2,C*Mquats (Su24),2,,,8
7/10/2024 20:00:00,Ice To Go (Su24),0,Midnight Snack (Su24),6,,,8
7/10/2024 20:00:00,Red For Filth (Su24),5,Idina Mintzels (Su24),0,,,8
7/10/2024 20:20:00,Big Eggplant Energy (Su24),2,Royal Pain in the Ice (Su24),2,,,8
7/10/2024 20:20:00,S*xual Tealing (Su24),2,Citrus on My Face (Su24),3,,,8
7/10/2024 20:40:00,C*Mquats (Su24),3,bratz (Su24),1,,,8
7/10/2024 20:40:00,Midnight Snack (Su24),4,GAYtors (Su24),0,,,8
7/17/2024 19:20:00,Citrus on My Face (Su24),0,Red For Filth (Su24),5,,,8
7/17/2024 19:20:00,Idina Mintzels (Su24),0,C*Mquats (Su24),4,,,8
7/17/2024 19:40:00,GAYtors (Su24),2,Ice To Go (Su24),2,,,8
7/17/2024 19:40:00,Royal Pain in the Ice (Su24),3,the dodgefathers (Su24),2,,,8
7/17/2024 20:00:00,Big Eggplant Energy (Su24),1,bratz (Su24),3,,,8
7/17/2024 20:00:00,Midnight Snack (Su24),4,S*xual Tealing (Su24),1,,,8
7/17/2024 20:10:00,bratz (Su24),3,the dodgefathers (Su24),2,,,8
7/17/2024 20:20:00,C*Mquats (Su24),2,Citrus on My Face (Su24),2,,,8
7/17/2024 20:20:00,Royal Pain in the Ice (Su24),3,Idina Mintzels (Su24),2,,,8
7/17/2024 20:40:00,Red For Filth (Su24),2,Midnight Snack (Su24),2,,,8
7/17/2024 20:40:00,S*xual Tealing (Su24),2,GAYtors (Su24),2,,,
7/17/2024 20:50:00,Big Eggplant Energy (Su24),0,Ice To Go (Su24),5,,,8
7/24/2024 19:30:00,Ice To Go (Su24),1,S*xual Tealing (Su24),3,,,8
7/24/2024 19:30:00,Idina Mintzels (Su24),3,bratz (Su24),1,,,8
7/24/2024 19:50:00,Big Eggplant Energy (Su24),2,the dodgefathers (Su24),3,,,8
7/24/2024 19:50:00,GAYtors (Su24),0,Red For Filth (Su24),3,,,8
7/24/2024 20:10:00,bratz (Su24),0,Citrus on My Face (Su24),4,,,8
