Time,Team 1,Score 1,Team 2,Score 2,Outcome Only,Tournament,Number of Players
12/4/2024 18:40:00,Wet Dreams,1,Urine Trouble,0,1,1,
12/4/2024 19:00:00,Twerkoise,1,Lime and Punishment,0,1,1,
12/4/2024 19:00:00,Violetly Gay,1,The Blue Ballers,0,1,1,
12/4/2024 19:20:00,Froggays,0,Clementops,1,1,1,
12/4/2024 19:20:00,Naughty Hotties,1,Wet Dreams,0,1,1,
12/4/2024 19:40:00,Queermint,1,Twerkoise,0,1,1,
12/4/2024 19:40:00,Winona Ride Her,0,Violetly Gay,1,1,1,
12/4/2024 20:00:00,Naughty Hotties,1,Clementops,0,1,1,
12/4/2024 20:00:00,Violetly Gay,0,Queermint,1,1,1,
12/4/2024 20:20:00,Queermint,1,Naughty Hotties,0,1,1,
12/4/2024 20:40:00,Cuntolina Panthers,1,Washington Formanders,0,1,1,
12/4/2024 20:40:00,Mean Gay Packers,1,Edgar Allen Hoes,0,1,1,
12/4/2024 21:00:00,Gay Sharks,0,Mean Gay Packers,1,1,1,
12/4/2024 21:00:00,Vikinks,0,Cuntolina Panthers,1,1,1,
12/4/2024 21:20:00,Cuntolina Panthers,1,Mean Gay Packers,0,1,1,
2/2/2025 16:15:00,2 Girls 1 Train,3,Sixual Tension,3,,,
2/2/2025 16:15:00,Big D (train) Energy,3,Reese's Pieces,0,,,
2/2/2025 16:35:00,QTs,2,Sixual Tension,4,,,
2/2/2025 16:35:00,Reese's Pieces,0,PATH to Poundtown,5,,,
2/2/2025 16:55:00,2 Girls 1 Train,2,Big D (train) Energy,5,,,
2/2/2025 16:55:00,QTs,5,PATH to Poundtown,2,,,
2/5/2025 19:00:00,My Chemical Throwmance,3,Dyke Dynasty,0,,,
2/5/2025 19:00:00,Purple Pain,3,Red Light District,1,,,
2/5/2025 19:20:00,Charcoochie,4,Macaroni in a Pot,0,,,
2/5/2025 19:20:00,Ice Dykes,3,Mary Wannas,2,,,
2/5/2025 19:40:00,Call Me Navy,1,Buns of Teal,3,,,
2/5/2025 19:40:00,It's the cLIME,1,Pulp Friction,5,,,
2/5/2025 20:00:00,Dyke Dynasty,1,Purple Pain,2,,,
2/5/2025 20:00:00,Red Light District,3,Mary Wannas,2,,,
2/5/2025 20:20:00,Ice Dykes,2,Buns of Teal,2,,,
2/5/2025 20:20:00,My Chemical Throwmance,3,Charcoochie,1,,,
2/5/2025 20:40:00,Macaroni in a Pot,0,It's the cLIME,6,,,
2/5/2025 20:40:00,Pulp Friction,5,Call Me Navy,1,,,
2/9/2025 16:15:00,Reese's Pieces,1,QTs,9,,,
2/9/2025 16:15:00,Sixual Tension,3,Big D (train) Energy,2,,,
2/9/2025 16:35:00,PATH to Poundtown,5,2 Girls 1 Train,0,,,
2/9/2025 16:35:00,Sixual Tension,8,Reese's Pieces,0,,,
2/9/2025 16:55:00,2 Girls 1 Train,4,QTs,3,,,
