number,value,datetime_start,datetime_complete,duration,params_beta,params_sigma,state
120,0.6752995430058841,2025-11-14 23:05:21.218905,2025-11-14 23:05:21.496629,0 days 00:00:00.277724,235.8957950663739,777.518351460415,COMPLETE
121,0.6717465552714385,2025-11-14 23:05:21.496744,2025-11-14 23:05:21.782452,0 days 00:00:00.285708,580.3311568798052,799.3339712951093,COMPLETE
122,0.6718491827383947,2025-11-14 23:05:21.782567,2025-11-14 23:05:22.060104,0 days 00:00:00.277537,582.8378640598938,789.134332665798,COMPLETE
123,0.6720292679108709,2025-11-14 23:05:22.060214,2025-11-14 23:05:22.339544,0 days 00:00:00.279330,599.0590948920285,765.3088412332836,COMPLETE
124,0.6721002553493998,2025-11-14 23:05:22.339655,2025-11-14 23:05:22.627340,0 days 00:00:00.287685,568.0159800033935,778.4112749115848,COMPLETE
125,0.6717370082789171,2025-11-14 23:05:22.627460,2025-11-14 23:05:22.936381,0 days 00:00:00.308921,583.3155130217427,798.1348864308541,COMPLETE
126,0.6824437875796858,2025-11-14 23:05:22.936497,2025-11-14 23:05:23.222804,0 days 00:00:00.286307,552.191417377645,357.43246057324563,COMPLETE
127,0.6825230872010619,2025-11-14 23:05:23.222917,2025-11-14 23:05:23.499843,0 days 00:00:00.276926,151.4549770135531,512.4066897148502,COMPLETE
128,0.6717630425953443,2025-11-14 23:05:23.499957,2025-11-14 23:05:23.777383,0 days 00:00:00.277426,578.2253905241905,799.3631139119703,COMPLETE
129,0.6724514189283591,2025-11-14 23:05:23.777491,2025-11-14 23:05:24.062089,0 days 00:00:00.284598,578.5462452562829,745.8650043471519,COMPLETE
130,0.6743454415515582,2025-11-14 23:05:24.062203,2025-11-14 23:05:24.339729,0 days 00:00:00.277526,306.08426926110775,797.7031836496227,COMPLETE
131,0.672036743467209,2025-11-14 23:05:24.339839,2025-11-14 23:05:24.618084,0 days 00:00:00.278245,580.5665777666198,775.563101510191,COMPLETE
132,0.671862246991462,2025-11-14 23:05:24.618201,2025-11-14 23:05:24.903572,0 days 00:00:00.285371,566.8413013157473,798.7590089321229,COMPLETE
133,0.6722333584198704,2025-11-14 23:05:24.903682,2025-11-14 23:05:25.181997,0 days 00:00:00.278315,589.3180074629512,755.6399628763548,COMPLETE
134,0.6721254281351552,2025-11-14 23:05:25.182106,2025-11-14 23:05:25.468226,0 days 00:00:00.286120,557.000440797054,783.5927777947965,COMPLETE
135,0.6724516333023313,2025-11-14 23:05:25.468337,2025-11-14 23:05:25.768394,0 days 00:00:00.300057,544.9182051921173,765.7446683146069,COMPLETE
136,0.6753320149900498,2025-11-14 23:05:25.768527,2025-11-14 23:05:26.055613,0 days 00:00:00.287086,599.9361744778436,582.0507931401722,COMPLETE
137,0.6719238269956239,2025-11-14 23:05:26.055717,2025-11-14 23:05:26.343306,0 days 00:00:00.287589,576.0173274527668,787.4533762716461,COMPLETE
138,0.6716804151509536,2025-11-14 23:05:26.343422,2025-11-14 23:05:26.622267,0 days 00:00:00.278845,587.9671646195088,799.8123699644234,COMPLETE
139,0.672137271120927,2025-11-14 23:05:26.622377,2025-11-14 23:05:26.901565,0 days 00:00:00.279188,572.3796515966242,772.7605242878176,COMPLETE
140,0.6812986499393946,2025-11-14 23:05:26.901670,2025-11-14 23:05:27.188203,0 days 00:00:00.286533,585.483692358978,384.23276524958084,COMPLETE
141,0.6715905262513224,2025-11-14 23:05:27.188313,2025-11-14 23:05:27.467488,0 days 00:00:00.279175,599.5245523488653,799.8106103866573,COMPLETE
142,0.6716404060910877,2025-11-14 23:05:27.467610,2025-11-14 23:05:27.754091,0 days 00:00:00.286481,598.997831558367,795.9816173584458,COMPLETE
143,0.6718681787637086,2025-11-14 23:05:27.754204,2025-11-14 23:05:28.032602,0 days 00:00:00.278398,597.6022874304708,778.4801281395705,COMPLETE
144,0.6715868855672853,2025-11-14 23:05:28.032716,2025-11-14 23:05:28.311001,0 days 00:00:00.278285,599.9456895745247,799.8444585767734,COMPLETE
145,0.6720409545715528,2025-11-14 23:05:28.311107,2025-11-14 23:05:28.598159,0 days 00:00:00.287052,599.9580662291224,763.9357211213149,COMPLETE
146,0.6718679075205796,2025-11-14 23:05:28.598275,2025-11-14 23:05:28.876863,0 days 00:00:00.278588,564.5650363090122,799.8670159968107,COMPLETE
147,0.6718826996039914,2025-11-14 23:05:28.876977,2025-11-14 23:05:29.155581,0 days 00:00:00.278604,588.770261192971,782.6826464431831,COMPLETE
148,0.6722250623100717,2025-11-14 23:05:29.155689,2025-11-14 23:05:29.441517,0 days 00:00:00.285828,587.6933611000591,757.146256829776,COMPLETE
149,0.6721784479762787,2025-11-14 23:05:29.441633,2025-11-14 23:05:29.719842,0 days 00:00:00.278209,565.4298032843427,773.8879266612488,COMPLETE
150,0.6718663707195549,2025-11-14 23:05:29.719950,2025-11-14 23:05:30.005435,0 days 00:00:00.285485,588.1727443917109,784.3601861712284,COMPLETE
151,0.6717009825131028,2025-11-14 23:05:30.005537,2025-11-14 23:05:30.283249,0 days 00:00:00.277712,599.4116460053019,790.7377291464932,COMPLETE
152,0.6717539831568661,2025-11-14 23:05:30.283354,2025-11-14 23:05:30.561288,0 days 00:00:00.277934,598.6923083366194,786.8884391283475,COMPLETE
153,0.6719167142140309,2025-11-14 23:05:30.561436,2025-11-14 23:05:30.847300,0 days 00:00:00.285864,573.5435526573332,789.6574648710238,COMPLETE
154,0.67202497086949,2025-11-14 23:05:30.847414,2025-11-14 23:05:31.126156,0 days 00:00:00.278742,588.6793732539867,771.5972994904895,COMPLETE
155,0.672107449110805,2025-11-14 23:05:31.126268,2025-11-14 23:05:31.412362,0 days 00:00:00.286094,599.3313882682286,759.3632623152015,COMPLETE
156,0.6717523605714911,2025-11-14 23:05:31.412470,2025-11-14 23:05:31.690678,0 days 00:00:00.278208,580.8185415520146,798.5136942076389,COMPLETE
157,0.6737275454876032,2025-11-14 23:05:31.690787,2025-11-14 23:05:31.968806,0 days 00:00:00.278019,439.1051840658596,742.1564102868643,COMPLETE
