number,value,datetime_start,datetime_complete,duration,params_K,params_tournament_multiplier,state
116,0.643388533081103,2025-11-14 22:46:47.931373,2025-11-14 22:46:47.971026,0 days 00:00:00.039653,478.20940046077857,1.275245375546833,COMPLETE
117,0.6433251858496909,2025-11-14 22:46:47.971133,2025-11-14 22:46:48.011811,0 days 00:00:00.040678,413.6879304184294,1.9186586579163014,COMPLETE
118,0.6431639470125526,2025-11-14 22:46:48.011898,2025-11-14 22:46:48.051227,0 days 00:00:00.039329,438.0127345812666,1.8338296593379393,COMPLETE
119,0.6432043952087714,2025-11-14 22:46:48.051308,2025-11-14 22:46:48.090548,0 days 00:00:00.039240,427.64603442997065,1.719847832494094,COMPLETE
120,0.6431378465134395,2025-11-14 22:46:48.090644,2025-11-14 22:46:48.130075,0 days 00:00:00.039431,450.07277584674335,1.6503025296006788,COMPLETE
121,0.6431396356217267,2025-11-14 22:46:48.130182,2025-11-14 22:46:48.169681,0 days 00:00:00.039499,449.4960788210197,1.6423844298980688,COMPLETE
122,0.6431405306203739,2025-11-14 22:46:48.169770,2025-11-14 22:46:48.209178,0 days 00:00:00.039408,449.9045880629586,1.6350702968385167,COMPLETE
123,0.6431800466135013,2025-11-14 22:46:48.209282,2025-11-14 22:46:48.248911,0 days 00:00:00.039629,467.4396970872507,1.545043650653329,COMPLETE
124,0.6431620428669232,2025-11-14 22:46:48.249007,2025-11-14 22:46:48.289566,0 days 00:00:00.040559,438.8090913610399,1.6460412966033846,COMPLETE
125,0.6432121236742394,2025-11-14 22:46:48.289678,2025-11-14 22:46:48.328569,0 days 00:00:00.038891,454.0659982640763,1.4371115136419501,COMPLETE
126,0.6432387470738783,2025-11-14 22:46:48.328656,2025-11-14 22:46:48.367550,0 days 00:00:00.038894,483.6600818773938,1.5882695996832055,COMPLETE
127,0.643138969763848,2025-11-14 22:46:48.367641,2025-11-14 22:46:48.406722,0 days 00:00:00.039081,461.8227349580991,1.7411591008884022,COMPLETE
128,0.6431841051643075,2025-11-14 22:46:48.406813,2025-11-14 22:46:48.445812,0 days 00:00:00.038999,474.945787726905,1.769691536780319,COMPLETE
129,0.6432740191373574,2025-11-14 22:46:48.445894,2025-11-14 22:46:48.484646,0 days 00:00:00.038752,418.7347199199465,1.872681597923225,COMPLETE
130,0.6431407803246849,2025-11-14 22:46:48.484732,2025-11-14 22:46:48.524407,0 days 00:00:00.039675,462.916706692602,1.6994237420439844,COMPLETE
131,0.6431795502509874,2025-11-14 22:46:48.524498,2025-11-14 22:46:48.563624,0 days 00:00:00.039126,449.3787794962047,1.5087233545090348,COMPLETE
132,0.6431424399152564,2025-11-14 22:46:48.563712,2025-11-14 22:46:48.603151,0 days 00:00:00.039439,445.3628743065169,1.806311868217244,COMPLETE
133,0.6432046103977628,2025-11-14 22:46:48.603238,2025-11-14 22:46:48.642666,0 days 00:00:00.039428,427.5279309029506,1.7288593314879928,COMPLETE
134,0.6432195853734006,2025-11-14 22:46:48.642768,2025-11-14 22:46:48.683118,0 days 00:00:00.040350,432.45265896618224,1.9627711889039068,COMPLETE
135,0.6443207043929989,2025-11-14 22:46:48.683215,2025-11-14 22:46:48.723067,0 days 00:00:00.039852,458.6942144790645,2.8461515334298184,COMPLETE
136,0.6431678619730304,2025-11-14 22:46:48.723171,2025-11-14 22:46:48.763394,0 days 00:00:00.040223,471.26587811444136,1.651593156039495,COMPLETE
137,0.643286525321307,2025-11-14 22:46:48.763489,2025-11-14 22:46:48.803245,0 days 00:00:00.039756,490.15277756142183,1.5695591612660484,COMPLETE
138,0.6433567161948129,2025-11-14 22:46:48.803345,2025-11-14 22:46:48.842493,0 days 00:00:00.039148,499.4104390576153,1.7716575609262595,COMPLETE
139,0.6431575588183809,2025-11-14 22:46:48.842580,2025-11-14 22:46:48.882085,0 days 00:00:00.039505,441.70582092508073,1.852957927537218,COMPLETE
140,0.6431343622915342,2025-11-14 22:46:48.882183,2025-11-14 22:46:48.921255,0 days 00:00:00.039072,456.4749634488639,1.6714274450486546,COMPLETE
141,0.643134261487322,2025-11-14 22:46:48.921349,2025-11-14 22:46:48.960488,0 days 00:00:00.039139,456.1072832041365,1.670470055965963,COMPLETE
142,0.643142023389677,2025-11-14 22:46:48.960572,2025-11-14 22:46:48.999852,0 days 00:00:00.039280,463.58343844676483,1.704267297221403,COMPLETE
143,0.6477168765982795,2025-11-14 22:46:48.999954,2025-11-14 22:46:49.039664,0 days 00:00:00.039710,479.4161313606613,3.87392637546819,COMPLETE
144,0.6431692559402881,2025-11-14 22:46:49.039769,2025-11-14 22:46:49.079521,0 days 00:00:00.039752,435.2593566256395,1.8014930982673643,COMPLETE
145,0.6431565588817993,2025-11-14 22:46:49.079610,2025-11-14 22:46:49.119121,0 days 00:00:00.039511,458.5648104167382,1.56838662496653,COMPLETE
146,0.6431718506640342,2025-11-14 22:46:49.119209,2025-11-14 22:46:49.159048,0 days 00:00:00.039839,472.8842476297825,1.6763191465861897,COMPLETE
147,0.643373090508337,2025-11-14 22:46:49.159162,2025-11-14 22:46:49.205159,0 days 00:00:00.045997,408.0370548025622,1.8937143064061615,COMPLETE
148,0.6661243409661762,2025-11-14 22:46:49.205301,2025-11-14 22:46:49.249793,0 days 00:00:00.044492,100.83945314608223,1.7306148149874314,COMPLETE
149,0.6432024548893079,2025-11-14 22:46:49.249910,2025-11-14 22:46:49.292553,0 days 00:00:00.042643,444.86028288616285,1.475301778174301,COMPLETE
150,0.6432495843202284,2025-11-14 22:46:49.292666,2025-11-14 22:46:49.333686,0 days 00:00:00.041020,423.4886482441268,1.6065725203190127,COMPLETE
151,0.6431345607926577,2025-11-14 22:46:49.333784,2025-11-14 22:46:49.373765,0 days 00:00:00.039981,452.1834224970068,1.6652293538999683,COMPLETE
152,0.6431352391642776,2025-11-14 22:46:49.373871,2025-11-14 22:46:49.413652,0 days 00:00:00.039781,458.26415129492926,1.765022217771283,COMPLETE
153,0.6431527776706035,2025-11-14 22:46:49.413750,2025-11-14 22:46:49.453578,0 days 00:00:00.039828,463.6323553235031,1.8196834750809396,COMPLETE
154,0.6431659730358109,2025-11-14 22:46:49.453667,2025-11-14 22:46:49.492843,0 days 00:00:00.039176,471.37204973119157,1.7388595932198463,COMPLETE
155,0.6432305157209066,2025-11-14 22:46:49.492939,2025-11-14 22:46:49.534335,0 days 00:00:00.041396,456.4158901883546,2.0432046891411155,COMPLETE
156,0.6432055820580054,2025-11-14 22:46:49.534444,2025-11-14 22:46:49.574357,0 days 00:00:00.039913,433.1296658242121,1.9310120920508966,COMPLETE
157,0.6432321715272381,2025-11-14 22:46:49.574461,2025-11-14 22:46:49.614408,0 days 00:00:00.039947,483.6115876641641,1.7726815894379073,COMPLETE
158,0.6431335926243548,2025-11-14 22:46:49.614507,2025-11-14 22:46:49.654166,0 days 00:00:00.039659,456.15388900238963,1.6777030127822137,COMPLETE
159,0.6431509321352168,2025-11-14 22:46:49.654262,2025-11-14 22:46:49.694069,0 days 00:00:00.039807,442.08041588333987,1.6543507074128323,COMPLETE
160,0.6459317263660487,2025-11-14 22:46:49.694156,2025-11-14 22:46:49.733691,0 days 00:00:00.039535,307.38106987723256,1.5631479066361758,COMPLETE
161,0.6431331147468626,2025-11-14 22:46:49.733784,2025-11-14 22:46:49.773581,0 days 00:00:00.039797,457.6829945495801,1.7024139181694717,COMPLETE
162,0.6431471100090925,2025-11-14 22:46:49.773674,2025-11-14 22:46:49.813340,0 days 00:00:00.039666,453.13398037589633,1.856788861866886,COMPLETE
163,0.6431668401397768,2025-11-14 22:46:49.813428,2025-11-14 22:46:49.853246,0 days 00:00:00.039818,471.6824099769551,1.6821337363521534,COMPLETE
164,0.6432001676597406,2025-11-14 22:46:49.853338,2025-11-14 22:46:49.892862,0 days 00:00:00.039524,440.3637000964653,1.5056540511421428,COMPLETE
165,0.6431469423737257,2025-11-14 22:46:49.892951,2025-11-14 22:46:49.932540,0 days 00:00:00.039589,452.4584721715203,1.5977529693214336,COMPLETE
